ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
6.47,-0.32,7.88,-0.031634,-0.290161,0.069813,1.5,32.375,9.5625,3,2024-11-14,11:06:46.366801
6.89,-0.11,7.73,-0.093811,-0.290161,0.0,1.875,32.6875,9.25,3,2024-11-14,11:06:46.446572
5.71,-0.12,7.73,0.047997,0.246528,0.02618,1.0625,32.6875,9.25,3,2024-11-14,11:06:46.603876
5.46,-0.1,7.68,0.041452,0.172351,-0.05236,0.75,33.0625,8.0625,3,2024-11-14,11:06:46.836742
5.86,-0.28,7.83,0.041452,0.17017,-0.045815,-0.6875,32.6875,8.75,3,2024-11-14,11:06:47.052690
4.72,0.05,8.77,-0.014181,-0.063268,0.017453,-1.0625,32.6875,8.75,3,2024-11-14,11:06:47.288559
5.23,-0.08,8.33,-0.035997,-0.073086,0.004363,-1.0625,33.875,8.0625,3,2024-11-14,11:06:47.632984
5.35,-0.13,7.95,-0.017453,-0.047997,0.010908,-0.25,32.0,9.25,3,2024-11-14,11:06:47.864880
5.21,-0.05,8.21,-0.023998,-0.022907,0.008727,-0.6875,33.0625,8.5,3,2024-11-14,11:06:47.864880
5.22,-0.14,7.93,-0.022907,-0.064359,0.01309,-0.25,33.0625,9.25,3,2024-11-14,11:06:48.034020
5.43,-0.16,8.14,0.0,0.011999,-0.010908,0.0625,31.25,9.25,3,2024-11-14,11:06:48.232940
5.4,-0.17,8.08,-0.015272,-0.008727,-0.015272,-0.6875,32.375,9.5625,3,2024-11-14,11:06:48.497610
5.48,-0.15,7.99,0.0,-0.010908,-0.001091,-0.6875,32.6875,10.0,3,2024-11-14,11:06:48.747489
5.53,-0.06,8.13,0.006545,-0.069813,0.034907,-0.25,32.375,9.25,3,2024-11-14,11:06:49.007382
5.28,-0.18,8.06,0.0,-0.030543,-0.006545,-0.25,32.375,8.5,3,2024-11-14,11:06:49.008342
5.63,-0.1,7.86,0.006545,0.042542,-0.045815,-0.25,32.6875,7.5625,3,2024-11-14,11:06:49.181131
5.51,0.14,8.11,0.006545,0.040361,-0.001091,-1.0625,32.375,7.25,3,2024-11-14,11:06:49.464789
5.38,-0.04,8.15,0.009817,0.07854,0.016362,-0.25,32.6875,8.5,3,2024-11-14,11:06:49.695925
5.2,0.12,8.29,-0.040361,-0.127627,0.057814,-1.375,32.375,8.5,3,2024-11-14,11:06:49.912818
5.41,0.26,8.12,0.002182,-0.128718,0.069813,-1.0625,32.6875,8.75,3,2024-11-14,11:06:49.943800
6.12,5.48,12.49,0.549779,-0.128718,0.253073,0.375,32.0,10.75,3,2024-11-14,11:06:50.068517
5.7,-0.06,7.3,0.022907,-0.056723,0.05236,2.0,33.0625,8.75,3,2024-11-14,11:06:50.300944
4.43,-0.28,7.12,0.049087,0.410152,-0.222529,2.25,32.0,8.5,3,2024-11-14,11:06:50.499119
5.27,-0.28,8.0,-0.025089,0.054542,-0.02618,1.1875,31.25,9.5625,3,2024-11-14,11:06:50.779207
6.14,-0.35,7.99,-0.046906,-0.151625,0.047997,0.1875,31.375,8.75,3,2024-11-14,11:06:51.031195
5.73,0.06,7.8,0.021817,-0.003272,-0.014181,0.5,31.75,8.75,3,2024-11-14,11:06:51.205067
5.41,-0.46,8.02,-0.031634,0.015272,-0.001091,0.5,32.0625,8.0625,3,2024-11-14,11:06:51.532337
6.0,-0.1,7.73,-0.008727,-0.140717,0.05236,0.875,32.0625,9.5625,3,2024-11-14,11:06:51.706169
5.99,-0.34,7.83,-0.02618,0.031634,0.004363,2.0,31.6875,8.0625,3,2024-11-14,11:06:51.958006
5.44,-0.15,8.12,0.058905,0.118901,-0.041452,0.75,31.25,10.0,3,2024-11-14,11:06:52.005958
5.49,-0.1,7.86,0.022907,0.076358,-0.022907,0.1875,32.375,8.75,3,2024-11-14,11:06:52.148124
5.51,-0.11,8.06,0.018544,0.213803,-0.071995,1.1875,32.0,8.5,3,2024-11-14,11:06:52.367222
5.0,0.05,8.27,0.029452,0.19744,-0.040361,-1.375,32.75,7.5625,3,2024-11-14,11:06:52.558121
5.23,-0.02,8.22,-0.045815,-0.136354,0.034907,-0.25,32.0625,8.5,3,2024-11-14,11:06:52.821950
5.12,-0.04,8.31,-0.009817,-0.029452,0.0,0.375,32.0625,8.0625,3,2024-11-14,11:06:53.037962
5.18,0.02,8.17,-0.038179,-0.076358,-0.005454,-0.6875,32.0625,8.5,3,2024-11-14,11:06:53.255848
5.42,-0.15,8.22,-0.022907,-0.094902,-0.006545,-0.6875,32.75,9.25,3,2024-11-14,11:06:53.489160
5.5,0.0,7.87,-0.017453,-0.067632,0.015272,-0.6875,31.375,8.75,3,2024-11-14,11:06:53.677919
5.56,-0.15,7.88,-0.020726,0.009817,0.004363,0.375,31.75,8.5,3,2024-11-14,11:06:54.006823
5.73,-0.18,7.84,-0.003272,-0.07854,0.027271,0.75,32.0625,9.25,3,2024-11-14,11:06:54.223509
5.91,-0.3,7.75,0.010908,0.014181,-0.006545,0.75,31.375,8.0625,3,2024-11-14,11:06:54.439089
5.56,-0.1,7.74,0.019635,0.093811,-0.015272,1.0625,31.75,9.25,3,2024-11-14,11:06:54.518067
5.53,-0.16,7.92,0.011999,0.062177,-0.014181,0.75,32.0625,8.0625,3,2024-11-14,11:06:54.625665
5.67,-0.05,7.99,0.009817,0.051269,-0.018544,0.75,31.75,7.25,3,2024-11-14,11:06:54.827764
5.22,-0.01,8.18,0.016362,0.178896,-0.058905,0.375,32.75,8.0625,3,2024-11-14,11:06:55.017722
5.29,-0.01,8.05,-0.014181,-0.110174,0.025089,-0.6875,32.5,8.5,3,2024-11-14,11:06:55.268735
5.37,-0.02,8.18,-0.011999,-0.058905,0.017453,0.0625,32.0625,8.0625,3,2024-11-14,11:06:55.411632
5.43,-0.03,8.08,-0.020726,-0.102538,0.029452,-0.25,31.75,8.875,3,2024-11-14,11:06:55.612518
5.72,-0.16,7.85,-0.009817,-0.163625,0.071995,0.0625,33.0625,8.875,3,2024-11-14,11:06:55.820406
5.92,-0.19,7.74,-0.044724,-0.1309,0.020726,1.0625,32.6875,8.5,3,2024-11-14,11:06:56.066263
5.98,-0.23,7.74,-0.016362,-0.046906,0.009817,0.375,32.0,8.0625,3,2024-11-14,11:06:56.265878
6.1,-0.25,7.48,0.014181,-0.004363,-0.01309,1.0625,31.6875,8.5,3,2024-11-14,11:06:56.406840
5.87,-0.11,7.88,0.016362,0.116719,-0.011999,1.875,33.0625,8.875,3,2024-11-14,11:06:56.654679
5.85,-0.3,7.78,-0.040361,-0.111265,0.021817,0.75,32.6875,7.6875,3,2024-11-14,11:06:56.859074
5.8,-0.27,7.86,-0.001091,0.049087,-0.008727,0.75,31.25,8.0625,3,2024-11-14,11:06:57.045967
5.9,-0.27,7.7,0.011999,-0.177805,0.041452,1.0625,31.6875,8.75,3,2024-11-14,11:06:57.263606
6.25,-0.2,7.78,0.015272,-0.042542,-0.016362,1.0625,32.6875,8.0625,3,2024-11-14,11:06:57.495474
5.86,-0.1,7.84,0.025089,0.18326,-0.06545,1.5,31.6875,7.5625,3,2024-11-14,11:06:57.697359
5.82,0.04,8.12,0.033816,0.14399,-0.045815,0.75,32.0,7.5625,3,2024-11-14,11:06:57.897995
5.36,0.14,8.05,0.001091,0.074176,-0.027271,0.375,33.0625,7.5625,3,2024-11-14,11:06:58.100880
5.15,0.01,8.09,0.027271,0.172351,-0.034907,-0.25,32.375,7.5625,3,2024-11-14,11:06:58.350623
5.01,0.29,8.2,-0.003272,0.11781,-0.018544,-0.5625,32.0,7.25,3,2024-11-14,11:06:58.614499
4.68,0.18,8.2,-0.020726,-0.093811,0.037088,-0.1875,32.375,6.5,3,2024-11-14,11:06:58.876265
5.2,0.11,8.23,-0.034907,-0.135263,0.043633,-1.0625,31.25,8.0625,3,2024-11-14,11:06:58.892255
5.29,0.11,8.12,0.0,0.034907,-0.008727,-0.25,32.0,7.5625,3,2024-11-14,11:06:59.144182
5.59,0.07,8.28,-0.034907,-0.176715,0.064359,-0.25,32.375,8.875,3,2024-11-14,11:06:59.408666
5.29,0.07,8.13,0.0,0.017453,-0.002182,-0.1875,32.0,6.875,3,2024-11-14,11:06:59.608568
5.41,0.04,8.1,-0.011999,-0.008727,0.006545,-0.5625,32.375,8.5,3,2024-11-14,11:06:59.812764
5.41,-0.02,8.05,-0.004363,0.064359,-0.027271,0.1875,32.0,6.875,3,2024-11-14,11:06:59.858562
5.32,0.02,8.12,0.0,0.028362,-0.003272,-0.1875,32.0,7.25,3,2024-11-14,11:07:00.328546
5.41,0.02,7.98,-0.01309,0.01309,0.001091,-0.5625,32.375,7.6875,3,2024-11-14,11:07:00.563117
5.5,-0.05,8.04,-0.028362,-0.063268,0.017453,0.5,31.25,8.0625,3,2024-11-14,11:07:00.625085
5.63,-0.11,7.99,-0.001091,-0.01309,0.009817,0.875,32.375,7.25,3,2024-11-14,11:07:00.735017
5.65,-0.06,7.87,-0.007636,0.014181,-0.009817,0.5,32.6875,7.25,3,2024-11-14,11:07:00.736018
5.62,-0.09,7.84,-0.002182,-0.034907,-0.010908,1.1875,32.0,6.875,3,2024-11-14,11:07:00.921893
5.65,-0.07,7.79,-0.011999,-0.005454,0.020726,0.1875,32.375,7.25,3,2024-11-14,11:07:01.145793
6.0,-0.12,7.83,-0.051269,-0.153807,0.03927,0.875,31.6875,8.0625,3,2024-11-14,11:07:01.382063
6.22,-0.2,7.55,-0.016362,-0.059996,0.02618,0.875,31.6875,7.6875,3,2024-11-14,11:07:01.987655
6.12,-0.11,7.58,0.006545,-0.051269,-0.042542,1.5625,31.25,8.5,3,2024-11-14,11:07:03.517181
6.37,-0.16,7.58,-0.032725,0.018544,0.001091,0.75,31.6875,9.25,3,2024-11-14,11:07:03.736382
5.95,-0.37,7.62,0.016362,0.142899,-0.064359,1.0625,32.0,8.0625,3,2024-11-14,11:07:03.751355
5.46,-0.14,7.84,0.05236,0.284707,-0.020726,0.0625,32.375,7.6875,3,2024-11-14,11:07:03.752353
5.46,-0.17,7.89,-0.006545,0.09163,-0.017453,-0.1875,31.25,8.875,3,2024-11-14,11:07:03.767346
5.31,0.03,8.22,0.002182,0.008727,0.006545,-0.6875,32.0,8.1875,3,2024-11-14,11:07:03.768344
5.21,0.04,8.1,-0.038179,-0.069813,0.0,-0.25,32.0,8.1875,3,2024-11-14,11:07:03.768344
5.29,-0.15,7.94,-0.007636,-0.066541,0.038179,-1.0625,32.375,7.75,3,2024-11-14,11:07:03.768344
5.6,-0.14,7.96,-0.008727,-0.029452,0.020726,-0.25,31.6875,8.5625,3,2024-11-14,11:07:03.798325
5.34,-0.12,7.96,-0.001091,-0.111265,0.041452,0.375,32.0,8.1875,3,2024-11-14,11:07:03.814318
5.58,-0.02,7.95,-0.003272,-0.01309,0.007636,-0.25,31.6875,7.0,3,2024-11-14,11:07:03.955217
5.53,-0.11,7.85,-0.002182,0.016362,0.004363,0.0625,31.6875,8.5625,3,2024-11-14,11:07:04.124124
5.61,-0.16,7.87,-0.004363,-0.018544,0.006545,-0.1875,32.0,7.75,3,2024-11-14,11:07:04.374984
5.7,-0.12,8.04,-0.007636,-0.030543,0.003272,0.875,31.25,8.1875,3,2024-11-14,11:07:04.547366
5.69,-0.14,7.86,-0.007636,-0.028362,0.009817,0.875,31.25,8.5625,3,2024-11-14,11:07:04.734145
5.65,-0.1,7.95,-0.016362,-0.073086,0.015272,0.375,32.0,8.5625,3,2024-11-14,11:07:04.948793
5.61,-0.19,7.83,-0.006545,-0.017453,0.019635,1.0625,32.375,7.75,3,2024-11-14,11:07:05.153378
5.69,-0.15,7.77,0.005454,0.006545,-0.006545,0.375,31.6875,8.1875,3,2024-11-14,11:07:05.341570
5.67,-0.15,7.81,-0.002182,0.006545,0.004363,0.75,31.6875,7.6875,3,2024-11-14,11:07:05.702284
6.01,-0.15,7.77,-0.008727,0.018544,-0.029452,0.375,32.6875,7.75,3,2024-11-14,11:07:05.872182
5.4,-0.1,8.21,0.034907,0.041452,-0.070904,0.375,32.375,7.75,3,2024-11-14,11:07:05.979182
5.91,-0.08,7.82,0.017453,-0.01309,0.010908,0.0625,32.0,7.375,3,2024-11-14,11:07:05.980195
5.57,-0.07,7.9,0.044724,-0.1309,0.03927,0.0625,32.375,8.1875,3,2024-11-14,11:07:06.185348
5.54,0.06,8.1,0.057814,0.151625,0.031634,0.1875,32.0,6.1875,3,2024-11-14,11:07:06.391429
5.18,-0.13,8.39,-0.054542,0.023998,-0.002182,0.375,32.0,6.5625,3,2024-11-14,11:07:06.564692
5.25,0.13,8.08,0.010908,-0.211621,0.046906,-0.6875,32.0,7.25,3,2024-11-14,11:07:06.785360
5.59,0.27,7.83,-0.019635,-0.038179,-0.004363,0.375,32.375,7.375,3,2024-11-14,11:07:07.083326
5.46,0.03,8.03,-0.027271,-0.007636,-0.008727,-0.25,31.6875,7.375,3,2024-11-14,11:07:07.287511
5.7,-0.01,8.02,-0.034907,-0.062177,0.041452,0.75,32.0,6.875,3,2024-11-14,11:07:07.490412
5.72,-0.26,8.02,-0.03927,-0.019635,-0.033816,1.0625,32.6875,6.5625,3,2024-11-14,11:07:07.694678
5.62,0.1,7.99,0.006545,-0.062177,-0.001091,1.0625,32.0,7.0,3,2024-11-14,11:07:07.910612
5.68,-0.1,7.91,-0.049087,-0.061087,0.031634,-0.25,31.6875,8.1875,3,2024-11-14,11:07:08.208642
5.82,-0.19,7.82,-0.015272,-0.046906,0.006545,0.0625,31.75,6.5625,3,2024-11-14,11:07:08.409660
5.87,0.01,7.86,0.019635,-0.047997,-0.004363,0.75,32.75,8.5625,3,2024-11-14,11:07:08.643027
5.87,-0.1,7.69,-0.006545,0.007636,-0.017453,0.75,31.6875,7.75,3,2024-11-14,11:07:08.691248
5.92,-0.17,7.65,0.02618,0.03927,0.001091,0.375,32.375,7.375,3,2024-11-14,11:07:08.846914
5.89,-0.06,7.73,-0.025089,-0.017453,-0.011999,0.375,31.25,7.75,3,2024-11-14,11:07:09.049071
6.01,-0.12,7.7,-0.003272,-0.022907,0.01309,0.75,32.0,7.75,3,2024-11-14,11:07:09.362195
5.97,-0.01,7.73,-0.001091,-0.031634,0.002182,1.0625,31.6875,7.375,3,2024-11-14,11:07:09.548092
5.94,-0.02,7.72,-0.008727,-0.047997,0.022907,1.875,31.25,7.375,3,2024-11-14,11:07:09.762945
6.03,-0.03,7.87,0.014181,0.109083,-0.020726,1.0625,32.0,8.1875,3,2024-11-14,11:07:09.996830
5.53,0.0,7.81,0.016362,0.133081,-0.023998,0.375,31.6875,8.1875,3,2024-11-14,11:07:10.203265
5.7,0.02,7.85,-0.018544,-0.07854,0.02618,0.375,32.0,8.5625,3,2024-11-14,11:07:10.405035
5.82,-0.03,7.87,-0.004363,0.023998,-0.004363,1.0625,32.375,8.1875,3,2024-11-14,11:07:10.561047
5.71,-0.01,7.8,0.001091,0.001091,-0.007636,0.0625,32.375,7.375,3,2024-11-14,11:07:10.810442
5.8,-0.02,7.66,-0.021817,-0.111265,0.031634,1.0625,32.375,7.75,3,2024-11-14,11:07:10.974350
6.0,-0.13,7.64,-0.018544,-0.058905,0.011999,1.0625,31.6875,7.75,3,2024-11-14,11:07:10.974350
6.09,-0.08,7.62,-0.015272,-0.029452,0.005454,1.0625,32.375,9.0,3,2024-11-14,11:07:11.171620
6.12,-0.15,7.62,0.001091,0.003272,0.002182,1.0625,31.6875,8.1875,3,2024-11-14,11:07:11.451692
5.97,-0.05,7.68,0.014181,0.09163,-0.023998,1.5,33.0625,8.5625,3,2024-11-14,11:07:11.606626
