ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
0.45,-9.09,3.03,-0.023998,0.025089,0.003272,24.25,-2.875,-29.0625,1,2024-11-14,11:04:01.363613
0.57,-9.24,3.1,-0.009817,-0.008727,-0.029452,24.25,-3.25,-29.0625,1,2024-11-14,11:04:01.424110
0.49,-9.16,3.03,-0.002182,0.066541,-0.003272,23.875,-2.5,-30.25,1,2024-11-14,11:04:01.645983
0.64,-9.17,3.2,0.004363,0.004363,-0.025089,23.875,-2.875,-29.5625,1,2024-11-14,11:04:01.846749
0.64,-9.11,3.2,-0.025089,-0.025089,-0.001091,24.25,-2.1875,-29.5,1,2024-11-14,11:04:01.862741
0.64,-9.24,3.11,-0.004363,-0.008727,0.005454,23.1875,-1.5,-29.875,1,2024-11-14,11:04:02.048769
0.68,-9.22,3.11,-0.008727,0.032725,0.008727,24.6875,-2.5,-29.5625,1,2024-11-14,11:04:02.282614
0.55,-9.27,3.16,-0.020726,0.067632,0.029452,24.6875,-2.1875,-28.6875,1,2024-11-14,11:04:02.489958
0.49,-9.17,3.06,-0.011999,0.151625,-0.018544,25.6875,-2.5,-29.5625,1,2024-11-14,11:04:02.660841
0.45,-9.2,3.1,0.023998,0.218166,-0.025089,26.875,-1.75,-28.375,1,2024-11-14,11:04:02.858728
0.48,-9.25,3.24,-0.006545,0.113446,-0.011999,26.5,-1.75,-27.1875,1,2024-11-14,11:04:03.094190
0.29,-9.08,3.03,-0.006545,0.028362,0.008727,27.875,-2.5,-26.75,1,2024-11-14,11:04:03.264090
0.34,-9.27,3.04,0.004363,-0.020726,-0.004363,28.6875,-1.75,-27.875,1,2024-11-14,11:04:03.464520
0.37,-9.18,3.09,0.008727,-0.027271,-0.01309,28.25,-2.1875,-27.875,1,2024-11-14,11:04:03.702411
0.45,-9.2,3.05,0.005454,-0.066541,0.005454,27.875,-1.75,-27.875,1,2024-11-14,11:04:03.926311
0.51,-9.18,3.16,-0.005454,-0.088357,-0.005454,27.1875,-2.0625,-28.375,1,2024-11-14,11:04:04.224500
0.51,-9.19,3.05,-0.014181,-0.050178,0.004363,26.5,-1.75,-27.875,1,2024-11-14,11:04:04.444372
0.49,-9.18,3.01,-0.037088,-0.109083,-0.001091,26.0625,-2.1875,-28.375,1,2024-11-14,11:04:04.647000
0.61,-9.18,2.98,-0.019635,-0.07854,0.008727,25.6875,-1.75,-28.375,1,2024-11-14,11:04:04.663001
0.68,-9.21,3.01,-0.022907,-0.023998,-0.004363,25.375,-1.75,-28.6875,1,2024-11-14,11:04:04.849895
0.67,-9.25,3.06,0.011999,0.021817,-0.002182,24.6875,-1.5,-31.0625,1,2024-11-14,11:04:05.018016
0.71,-9.25,3.19,0.003272,0.05236,0.015272,26.0625,-1.5,-29.1875,1,2024-11-14,11:04:05.250132
0.5,-9.18,3.19,0.011999,0.125446,0.007636,26.75,-1.5,-28.5,1,2024-11-14,11:04:05.486545
0.43,-9.27,3.01,-0.009817,0.134172,-0.003272,27.0625,-1.75,-28.375,1,2024-11-14,11:04:05.845378
0.43,-9.16,3.12,0.002182,0.116719,-0.004363,27.75,-2.5,-28.0,1,2024-11-14,11:04:06.061687
0.36,-9.2,3.12,0.001091,0.136354,-0.019635,29.0,-1.75,-26.0625,1,2024-11-14,11:04:06.123661
0.2,-9.14,2.92,-0.002182,0.023998,-0.005454,29.375,-1.75,-26.5,1,2024-11-14,11:04:06.264650
0.34,-9.23,3.04,0.0,-0.032725,0.003272,29.0,-1.75,-26.5,1,2024-11-14,11:04:06.438348
0.32,-9.16,3.05,-0.008727,-0.095993,0.0,29.0,-2.1875,-27.25,1,2024-11-14,11:04:06.687347
0.45,-9.12,3.13,-0.006545,-0.161443,0.005454,29.0,-1.5,-27.25,1,2024-11-14,11:04:07.070542
0.42,-9.22,2.87,0.0,-0.14508,0.003272,27.0625,-1.5,-27.25,1,2024-11-14,11:04:07.084526
0.59,-9.21,2.97,-0.01309,-0.114537,0.006545,26.375,-0.6875,-29.6875,1,2024-11-14,11:04:07.458810
0.62,-9.15,2.89,-0.008727,-0.090539,-0.005454,25.5625,-1.75,-29.1875,1,2024-11-14,11:04:07.752409
0.72,-9.21,3.05,-0.006545,-0.098175,0.003272,25.6875,-1.5,-29.1875,1,2024-11-14,11:04:07.831453
0.69,-9.18,3.0,0.019635,0.047997,0.01309,24.875,-1.5,-30.375,1,2024-11-14,11:04:08.019881
0.56,-9.23,2.92,-0.002182,0.167988,0.002182,25.0,-1.0625,-29.1875,1,2024-11-14,11:04:08.236567
0.54,-9.24,2.95,0.004363,0.062177,0.010908,26.375,-1.75,-29.1875,1,2024-11-14,11:04:08.251538
0.47,-9.01,3.18,-0.027271,0.110174,-0.047997,26.75,-2.1875,-29.1875,1,2024-11-14,11:04:08.439814
0.79,-9.2,2.93,-0.059996,0.014181,-0.07854,29.0625,-1.0625,-28.5,1,2024-11-14,11:04:08.595026
0.89,-9.39,2.8,0.025089,0.005454,-0.043633,27.75,0.0,-28.0,1,2024-11-14,11:04:08.796029
0.96,-9.49,2.87,0.088357,0.059996,0.05236,28.5625,-0.375,-28.0,1,2024-11-14,11:04:09.015459
0.55,-9.24,3.01,-0.028362,-0.046906,-0.025089,28.1875,-1.5,-28.5,1,2024-11-14,11:04:09.264376
0.71,-9.32,2.76,-0.029452,-0.020726,0.003272,27.5,0.0,-28.0,1,2024-11-14,11:04:09.438410
0.77,-9.29,2.79,0.055632,0.006545,-0.003272,28.1875,0.0,-27.6875,1,2024-11-14,11:04:09.626912
0.73,-9.28,2.78,0.017453,0.041452,0.017453,27.75,-0.25,-27.6875,1,2024-11-14,11:04:09.813958
0.76,-9.21,3.06,-0.051269,-0.115628,0.098175,27.75,-1.0625,-28.75,1,2024-11-14,11:04:10.030154
-0.01,-9.35,2.76,-0.007636,-0.212712,0.021817,28.5625,-1.0625,-28.5,1,2024-11-14,11:04:10.216560
0.52,-9.12,2.98,0.07854,-0.074176,-0.029452,26.75,-1.5,-29.6875,1,2024-11-14,11:04:10.482480
0.54,-9.32,3.04,-0.063268,-0.030543,0.023998,24.875,-1.5,-30.0,1,2024-11-14,11:04:10.682041
0.63,-9.22,2.98,0.002182,-0.055632,-0.022907,26.375,-1.75,-29.6875,1,2024-11-14,11:04:10.902915
0.5,-9.24,2.94,0.037088,0.167988,0.020726,25.25,-1.0625,-30.0,1,2024-11-14,11:04:11.043834
0.44,-9.24,2.96,0.0,0.131991,-0.006545,27.0625,-1.0625,-28.75,1,2024-11-14,11:04:11.703496
0.27,-9.26,2.91,-0.008727,0.09163,0.003272,27.75,-1.0625,-28.75,1,2024-11-14,11:04:11.718486
0.32,-9.24,2.99,0.010908,0.075267,0.002182,27.75,-2.1875,-28.75,1,2024-11-14,11:04:11.814432
0.34,-9.23,3.06,-0.006545,0.06545,-0.011999,27.75,-1.0625,-28.0,1,2024-11-14,11:04:11.861825
0.26,-9.2,2.95,-0.003272,0.004363,-0.002182,29.0,-1.75,-27.25,1,2024-11-14,11:04:12.096371
0.29,-9.23,2.92,0.002182,-0.021817,0.003272,28.5625,-1.75,-28.0,1,2024-11-14,11:04:12.268284
