ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
1.14,-2.36,-9.03,0.136354,0.041452,0.09163,28.6875,16.0,4.0,2,2024-11-14,11:05:18.064768
1.15,-2.35,-8.95,-0.002182,0.038179,0.020726,28.6875,15.6875,2.75,2,2024-11-14,11:05:18.123735
1.31,-2.21,-9.33,-0.014181,-0.040361,0.005454,28.6875,14.875,2.0,2,2024-11-14,11:05:18.124735
1.36,-2.22,-9.15,0.016362,-0.001091,-0.001091,29.0625,15.6875,2.375,2,2024-11-14,11:05:18.308678
1.27,-2.37,-9.17,-0.053451,-0.057814,-0.007636,28.6875,14.875,4.0,2,2024-11-14,11:05:18.526637
1.18,-2.35,-9.18,0.007636,-0.005454,-0.002182,28.6875,15.25,2.375,2,2024-11-14,11:05:18.730653
1.14,-2.46,-9.18,0.008727,0.016362,-0.016362,28.0,15.6875,2.75,2,2024-11-14,11:05:18.960726
1.13,-2.57,-9.22,0.030543,0.014181,-0.004363,28.0,15.25,1.5625,2,2024-11-14,11:05:19.244321
1.13,-2.57,-9.21,0.009817,0.016362,-0.007636,28.6875,14.875,1.25,2,2024-11-14,11:05:19.509044
1.13,-2.62,-9.19,0.01309,0.003272,-0.004363,29.0625,14.875,2.875,2,2024-11-14,11:05:19.712811
1.1,-2.69,-9.15,0.008727,0.007636,-0.007636,28.6875,14.875,1.6875,2,2024-11-14,11:05:19.898715
1.14,-2.66,-9.18,-0.003272,0.010908,-0.005454,28.6875,14.5,2.875,2,2024-11-14,11:05:20.066664
1.11,-2.71,-9.19,-0.02618,-0.008727,-0.003272,28.375,14.875,2.875,2,2024-11-14,11:05:20.287373
1.06,-2.71,-9.22,-0.022907,-0.021817,0.004363,28.0,15.25,2.0625,2,2024-11-14,11:05:20.487316
1.05,-2.81,-9.22,0.018544,-0.010908,-0.001091,29.5,15.25,2.875,2,2024-11-14,11:05:20.692542
1.03,-2.78,-9.2,-0.004363,0.009817,-0.005454,29.0625,14.5,2.0625,2,2024-11-14,11:05:20.892425
0.99,-2.8,-9.2,0.011999,0.002182,-0.001091,28.6875,14.875,1.25,2,2024-11-14,11:05:21.159857
1.0,-2.79,-9.23,0.004363,0.005454,-0.004363,29.0625,15.25,2.0625,2,2024-11-14,11:05:21.439141
1.0,-2.85,-9.21,0.007636,0.005454,-0.005454,29.5,15.25,3.25,2,2024-11-14,11:05:21.643628
0.98,-2.93,-9.19,0.010908,0.004363,-0.007636,28.6875,14.5,2.875,2,2024-11-14,11:05:21.705938
0.98,-2.95,-9.18,0.018544,0.009817,-0.006545,28.375,14.875,2.0,2,2024-11-14,11:05:21.859862
0.98,-3.02,-9.21,0.009817,0.004363,-0.003272,29.5,14.875,1.5625,2,2024-11-14,11:05:22.173739
0.99,-3.03,-9.19,0.021817,0.007636,-0.005454,29.5,14.5,2.375,2,2024-11-14,11:05:22.373770
0.98,-3.06,-9.15,0.015272,0.001091,-0.004363,28.6875,14.5,2.375,2,2024-11-14,11:05:22.531647
0.97,-3.1,-9.18,0.027271,0.006545,-0.005454,28.6875,14.5,1.1875,2,2024-11-14,11:05:22.733976
0.96,-3.09,-9.19,0.004363,0.010908,-0.007636,29.0625,14.5,1.5625,2,2024-11-14,11:05:22.939954
0.97,-3.07,-9.16,0.008727,0.010908,-0.006545,28.375,15.25,1.5625,2,2024-11-14,11:05:23.157311
0.97,-3.07,-9.18,0.014181,0.008727,-0.005454,28.6875,14.875,1.5625,2,2024-11-14,11:05:23.157311
0.96,-3.11,-9.19,-0.010908,0.003272,-0.002182,29.0625,14.1875,2.0,2,2024-11-14,11:05:23.379623
0.96,-3.09,-9.16,-0.002182,0.005454,-0.002182,28.375,15.6875,2.0,2,2024-11-14,11:05:23.597501
